TIME,OFFSET,T_SET120,T_SET115,T_SET110,T_SET105,T_SET100,T_SET95,T_SET90,T_SET86,T_SET75,T_SET70,T_SET65,T_SET60,T_SET55,T_SET50,T_SET45,T_SET40,T_SET35,ESPECTROSCOPIA,S_NORM
-0.125,0.016,0.168,0.166,0.166,0.158,0.162,0.162,0.164,0.1608,0.166,0.162,0.162,0.166,0.162,0.16,0.15,0.154,0.154,0.576,0.144
-0.1249,0.016,0.168,0.166,0.164,0.16,0.162,0.164,0.1624,0.1616,0.168,0.164,0.164,0.162,0.162,0.16,0.15,0.152,0.152,0.576,0.142
-0.1248,0.018,0.166,0.164,0.164,0.16,0.162,0.164,0.1632,0.1608,0.168,0.16,0.164,0.164,0.16,0.16,0.15,0.152,0.154,0.56,0.142
-0.1247,0.018,0.166,0.166,0.164,0.16,0.162,0.164,0.1632,0.1616,0.168,0.162,0.162,0.164,0.16,0.158,0.148,0.152,0.154,0.592,0.144
-0.1246,0.016,0.166,0.164,0.164,0.16,0.164,0.162,0.164,0.1616,0.168,0.162,0.162,0.164,0.16,0.16,0.15,0.152,0.152,0.576,0.144
-0.1245,0.016,0.166,0.166,0.164,0.162,0.162,0.164,0.1648,0.1624,0.168,0.164,0.164,0.164,0.16,0.16,0.152,0.152,0.152,0.576,0.142
-0.1244,0.016,0.168,0.166,0.166,0.16,0.162,0.164,0.1648,0.1608,0.17,0.162,0.162,0.166,0.162,0.16,0.15,0.152,0.152,0.576,0.142
-0.1243,0.016,0.166,0.166,0.166,0.158,0.164,0.164,0.164,0.1624,0.168,0.16,0.164,0.164,0.162,0.16,0.148,0.154,0.152,0.576,0.144
-0.1242,0.016,0.168,0.166,0.166,0.16,0.162,0.164,0.1648,0.1608,0.17,0.162,0.162,0.164,0.162,0.16,0.15,0.152,0.154,0.576,0.144
-0.1241,0.016,0.166,0.166,0.164,0.158,0.164,0.164,0.1648,0.1624,0.168,0.162,0.164,0.162,0.162,0.16,0.15,0.152,0.152,0.568,0.142
-0.124,0.018,0.166,0.164,0.164,0.16,0.162,0.164,0.164,0.1624,0.168,0.16,0.162,0.164,0.162,0.16,0.15,0.15,0.152,0.568,0.144
-0.1239,0.016,0.166,0.166,0.166,0.158,0.164,0.164,0.164,0.1616,0.17,0.16,0.162,0.162,0.162,0.16,0.15,0.152,0.15,0.576,0.144
-0.1238,0.018,0.164,0.166,0.164,0.16,0.162,0.164,0.1632,0.1616,0.168,0.16,0.162,0.164,0.16,0.16,0.15,0.152,0.152,0.576,0.142
-0.1237,0.016,0.168,0.166,0.166,0.16,0.164,0.164,0.164,0.1616,0.168,0.162,0.164,0.162,0.162,0.16,0.15,0.15,0.152,0.576,0.144
-0.1236,0.016,0.168,0.166,0.164,0.16,0.162,0.164,0.1648,0.1616,0.168,0.162,0.164,0.162,0.162,0.16,0.148,0.152,0.154,0.576,0.142
-0.1235,0.014,0.166,0.166,0.166,0.16,0.162,0.164,0.1648,0.1616,0.17,0.162,0.162,0.164,0.162,0.158,0.15,0.152,0.152,0.568,0.144
-0.1234,0.018,0.166,0.166,0.166,0.158,0.164,0.164,0.164,0.1616,0.17,0.162,0.162,0.162,0.162,0.16,0.15,0.152,0.152,0.576,0.142
-0.1233,0.016,0.166,0.166,0.166,0.16,0.162,0.162,0.164,0.1624,0.168,0.162,0.162,0.162,0.16,0.16,0.15,0.152,0.152,0.56,0.142
-0.1232,0.016,0.168,0.164,0.166,0.16,0.162,0.162,0.164,0.1624,0.17,0.162,0.164,0.162,0.16,0.158,0.148,0.15,0.152,0.576,0.142
-0.1231,0.016,0.166,0.166,0.166,0.16,0.164,0.164,0.164,0.1608,0.168,0.162,0.162,0.162,0.16,0.158,0.15,0.152,0.152,0.568,0.144
-0.123,0.018,0.166,0.166,0.164,0.156,0.164,0.164,0.1632,0.1608,0.168,0.162,0.16,0.164,0.162,0.158,0.15,0.152,0.154,0.568,0.142
-0.1229,0.016,0.168,0.166,0.166,0.158,0.164,0.164,0.1624,0.1608,0.168,0.162,0.162,0.162,0.16,0.158,0.152,0.152,0.152,0.576,0.144
-0.1228,0.016,0.168,0.166,0.166,0.16,0.162,0.164,0.1648,0.1608,0.17,0.162,0.162,0.164,0.162,0.16,0.15,0.152,0.154,0.568,0.142
-0.1227,0.016,0.168,0.166,0.166,0.162,0.162,0.164,0.1632,0.1616,0.17,0.162,0.162,0.162,0.162,0.158,0.15,0.152,0.152,0.568,0.142
-0.1226,0.016,0.168,0.166,0.166,0.158,0.164,0.164,0.1632,0.1608,0.168,0.16,0.164,0.162,0.162,0.158,0.15,0.152,0.152,0.576,0.142
-0.1225,0.016,0.166,0.166,0.166,0.16,0.162,0.166,0.1632,0.1616,0.166,0.162,0.164,0.162,0.16,0.16,0.15,0.152,0.15,0.568,0.142
-0.1224,0.016,0.166,0.166,0.166,0.16,0.162,0.164,0.1632,0.1624,0.168,0.162,0.162,0.164,0.16,0.16,0.15,0.152,0.152,0.576,0.142
-0.1223,0.016,0.166,0.166,0.166,0.16,0.162,0.164,0.1648,0.1624,0.17,0.162,0.162,0.162,0.16,0.158,0.15,0.152,0.152,0.568,0.142
-0.1222,0.016,0.166,0.166,0.164,0.16,0.162,0.164,0.1656,0.1616,0.168,0.162,0.162,0.162,0.16,0.158,0.15,0.152,0.152,0.568,0.144
-0.1221,0.014,0.166,0.166,0.164,0.16,0.162,0.164,0.1624,0.1632,0.168,0.162,0.162,0.162,0.162,0.158,0.15,0.15,0.154,0.568,0.144
-0.122,0.016,0.166,0.164,0.166,0.158,0.162,0.164,0.1632,0.1616,0.168,0.16,0.162,0.162,0.16,0.16,0.15,0.15,0.154,0.568,0.144
-0.1219,0.018,0.166,0.166,0.166,0.158,0.164,0.164,0.1632,0.1624,0.168,0.16,0.162,0.162,0.162,0.158,0.15,0.152,0.152,0.576,0.142
-0.1218,0.014,0.166,0.166,0.164,0.16,0.162,0.164,0.164,0.1608,0.168,0.162,0.162,0.162,0.162,0.158,0.146,0.152,0.152,0.552,0.144
-0.1217,0.018,0.166,0.164,0.166,0.16,0.164,0.164,0.1632,0.1624,0.168,0.16,0.162,0.16,0.16,0.158,0.15,0.152,0.152,0.576,0.142
-0.1216,0.016,0.168,0.166,0.166,0.16,0.162,0.164,0.1624,0.16,0.168,0.16,0.164,0.164,0.16,0.158,0.15,0.152,0.152,0.568,0.144
-0.1215,0.016,0.166,0.166,0.164,0.158,0.162,0.164,0.1632,0.1616,0.168,0.16,0.16,0.164,0.16,0.16,0.15,0.15,0.152,0.568,0.144
-0.1214,0.018,0.166,0.164,0.166,0.158,0.162,0.164,0.1632,0.1608,0.168,0.162,0.164,0.162,0.16,0.16,0.148,0.15,0.154,0.568,0.144
-0.1213,0.016,0.166,0.166,0.166,0.16,0.162,0.164,0.164,0.1616,0.17,0.16,0.162,0.164,0.16,0.158,0.148,0.152,0.15,0.568,0.142
-0.1212,0.014,0.166,0.166,0.166,0.158,0.162,0.164,0.1632,0.1624,0.17,0.16,0.162,0.162,0.162,0.16,0.15,0.152,0.152,0.568,0.142
-0.1211,0.016,0.166,0.166,0.164,0.16,0.162,0.164,0.164,0.1608,0.168,0.16,0.162,0.162,0.16,0.16,0.148,0.152,0.152,0.56,0.142
-0.121,0.016,0.166,0.166,0.164,0.16,0.162,0.162,0.1632,0.16,0.168,0.158,0.162,0.162,0.162,0.16,0.148,0.152,0.152,0.56,0.144
-0.1209,0.016,0.168,0.166,0.164,0.16,0.162,0.166,0.1632,0.1616,0.168,0.16,0.16,0.162,0.162,0.158,0.15,0.154,0.152,0.552,0.142
-0.1208,0.016,0.166,0.166,0.164,0.16,0.162,0.162,0.1648,0.1616,0.168,0.16,0.164,0.162,0.162,0.16,0.15,0.152,0.152,0.56,0.144
-0.1207,0.016,0.168,0.166,0.166,0.16,0.162,0.164,0.1648,0.1616,0.168,0.16,0.162,0.162,0.16,0.158,0.15,0.152,0.152,0.56,0.142
-0.1206,0.018,0.166,0.166,0.166,0.16,0.162,0.164,0.1624,0.1616,0.168,0.16,0.16,0.162,0.16,0.158,0.148,0.152,0.152,0.56,0.142
-0.1205,0.016,0.166,0.166,0.164,0.16,0.16,0.164,0.1632,0.1608,0.168,0.162,0.162,0.162,0.16,0.16,0.15,0.152,0.152,0.56,0.142
-0.1204,0.018,0.168,0.164,0.166,0.16,0.162,0.162,0.1624,0.1608,0.166,0.16,0.164,0.162,0.16,0.16,0.148,0.152,0.152,0.56,0.14
